,precision,recall,f1-score,support
0,0.8674440012273703,0.9848458456714858,0.9224243413002692,5741.0
1,0.7131598390936704,0.8945525692513644,0.7936232413667093,9711.0
2,0.5769911504424778,0.8842676311030742,0.6983220278471974,1106.0
3,0.8613953488372093,0.3093885733377882,0.4552605703048181,5986.0
accuracy,0.76166607523066,0.76166607523066,0.76166607523066,0.76166607523066
macro avg,0.754747584900182,0.7682636548409281,0.7174075452047485,22544.0
weighted avg,0.7851293461237527,0.76166607523066,0.7319041597303317,22544.0
